median;mean;std;rxns;;;;;;;
0;0;0;2_1_1_139_RXN_c;0;;;;;;
0;0;0;2_1_1_140_RXN_c;0;;;;;;
0;0;0;2_1_1_142_RXN_c;0;;;;;;
0;0;0;2_1_1_143_RXN_c;0;;;;;;
0;0;0;2_1_1_145_RXN_c;0;;;;;;
0;0;0;2_1_1_146_RXN_c;0;;;;;;
0;0;0;2_1_1_64_RXN_c;0;;;;;;
0;0;0;2_1_1_69_RXN_c;0;;;;;;
0;0;0;2_1_1_88_RXN_c;0;;;;;;
0;0;0;2_3_1_103_RXN_c;0;;;;;;
0;0;0;2_3_1_133_RXN_c;0;;;;;;
0;0;0;2_3_1_150_RXN_c;0;;;;;;
0;0;0;2_3_1_151_RXN_c;0;;;;;;
0;0;0;2_3_1_156_RXN_c;0;;;;;;
0;0;0;2_3_1_160_RXN_c;0;;;;;;
0;0;0;2_3_1_162_RXN_c;0;;;;;;
0;0;0;2_3_1_167_RXN_c;0;;;;;;
0;0;0;2_3_1_172_RXN_c;0;;;;;;
0;0;0;2_3_1_179_RXN_c;0;;;;;;
0.001150673;0.001157828;6.21E-05;2_3_1_180_RXN_p;0.007050323;;;;;;
0;0;0;2_3_1_99_RXN_c;0;;;;;;
0;7.17E-06;0.000142393;2_4_1_111_RXN_c;0;;;;;;
0;0;0;2_4_1_114_RXN_c;0;;;;;;
0;0;0;2_4_1_121_RXN_c;0;;;;;;
1.08E-05;5.41E-05;0.000353101;2_4_1_123_RXN_c;6.61182E-05;;;;;;
0;0;0;2_4_1_126_RXN_c;0;;;;;;
0;0;0;2_4_1_194_RXN_c;0;;;;;;
0;0;0;2_4_1_195_RXN_c;0;;;;;;
0;0;0;2_4_1_210_RXN_c;0;;;;;;
0;0;0;2_4_1_218_RXN_c;0;;;;;;
0;1.97E-05;0.000238935;2_4_1_67_RXN_c;0;;;;;;
1.08E-05;2.90E-05;0.000229985;2_4_1_82_RXN_c;6.61182E-05;;;;;;
0.000708383;0.000713906;4.46E-05;2_5_1_19_RXN_p;0.004340352;;;;;;
0;0;0;2_5_1_32_RXN_c;0;;;;;;
0;0;0;2_5_1_39_RXN_c;0;;;;;;
0;0;0;2_5_1_41_RXN_c;0;;;;;;
0;0;0;2_5_1_43_RXN_c;0;;;;;;
0;0;0;2_5_1_64_RXN_c;0;;;;;;
0;-1.60E-13;9.66E-12;2_6_1_18_RXN_c;0;;;;;;
0;0;0;2_6_1_22_RXN_c;0;;;;;;
0;0;0;2_6_1_49_RXN_c;0;;;;;;
0;0;0;2_6_1_58_RXN_c;0;;;;;;
0;0;0;2_6_1_80_RXN_c;0;;;;;;
0;1.83E-05;0.000328381;2_7_1_133_RXN_c;0;;;;;;
0;2.94E-05;0.000166243;2_7_1_134_RXN_c;0;;;;;;
0;1.93E-05;0.000336573;2_7_1_139_RXN_c;0;;;;;;
0;0;0;2_7_1_140_RXN_c;0;;;;;;
0;0;0;2_7_1_148_RXN_p;0;;;;;;
0;0;0;2_7_1_151_RXN_c;0;;;;;;
0;0;0;2_7_1_152_RXN_c;0;;;;;;
0.008064567;0.007911302;0.001421802;2_7_1_90_RXN_c;0.049412643;;;;;;
0;0;0;2_7_4_24_RXN_c;0;;;;;;
0;7.09E-06;0.000144537;2_7_7_1_RXN_c;0;;;;;;
0;0;0;2_7_7_11_RXN_c;0;;;;;;
0.000304271;0.000317311;0.000301125;2_7_7_13_RXN_c;0.001864309;;;;;;
0;0;0;2_7_7_14_RXN_c;0;;;;;;
0;1.06E-05;0.000176611;2_7_7_15_RXN_c;0;;;;;;
0;2.54E-06;2.80E-05;2_7_7_34_RXN_c;0;;;;;;
0;0;0;2_7_7_44_RXN_c;0;;;;;;
0;0;0;2_7_7_57_RXN_c;0;;;;;;
0;0;0;2_7_7_60_RXN_p;0;;;;;;
0;0;0;2_8_2_26_RXN_c;0;;;;;;
0;0;0;2_8_2_27_RXN_c;0;;;;;;
0;0;0;2_8_2_28_RXN_c;0;;;;;;
0;0;0;23_DIMETHYLMALATE_LYASE_RXN_c;0;;;;;;
0;1.23E-05;0.000115303;2KETO_3METHYLVALERATE_RXN_m;0;;;;;;
0;2.10E-05;0.000163244;2KETO_4METHYL_PENTANOATE_DEHYDROG_RXN_m;0;;;;;;
0;1.43E-05;0.000119027;2KETOBUTYRYL_TRANS_mc;0;;;;;;
0;2.74E-05;0.000187087;2KG_2K_ADIPATE_mc;0;;;;;;
0;9.16E-07;1.30E-05;2KG_ACONITATE_mc;0;;;;;;
-5.43E-06;-0.000733843;0.000834131;2KG_CIT_mc;-3.3289E-05;;;;;;
0;-0.000123968;0.000609353;2KG_ISOCITRATE_mc;0;;;;;;
0;4.66E-05;0.000542721;2KG_MAL_mc;0;;;;;;
-0.001271884;-0.001058572;0.001723999;2KG_MAL_pc;-0.007792997;;;;;;
0;-0.000996143;0.001453483;2KG_OAA_mc;0;;;;;;
0;5.43E-06;0.000116028;2KG_SUC_mc;0;;;;;;
0;3.73E-05;0.000241312;2OXOBUT_TRANS_mc;0;;;;;;
-0.000340652;-0.000342874;0.000145617;2OXOBUT_TRANS_pc;-0.002087218;;;;;;
0.004818602;0.004519651;0.000984025;2OXOGLUTARATEDEH_RXN_m;0.029524198;;;;;;
0;0;0;2OXOGLUTDECARB_RXN_m;0;;;;;;
0.007501503;0.006948978;0.002042706;2PGADEHYDRAT_RXN_c;0.045962675;;;;;;
0.008872593;0.009402496;0.001565383;2PGADEHYDRAT_RXN_p;0.054363522;;;;;;
0;0;0;2PHENYLETHANOL_biomass;0;;;;;;
0.002046847;0.002296496;0.000632652;2TRANSKETO_RXN_p;0.012541298;;;;;;
0;-2.22E-13;1.10E-11;3_CH3_2_OXOBUTANOATE_OH_CH3_XFER_RXN_c;0;;;;;;
0;0;0;3_CYANOALANINE_HYDRATASE_RXN_c;0;;;;;;
0.000708383;0.000713906;4.46E-05;3_DEHYDROQUINATE_DEHYDRATASE_RXN_p;0.004340352;;;;;;
0.000708383;0.000713906;4.46E-05;3_DEHYDROQUINATE_SYNTHASE_RXN_p;0.004340352;;;;;;
0;0;0;3_DEHYDROSPHINGANINE_REDUCTASE_RXN_c;0;;;;;;
0;-2.74E-05;0.000187087;3_HYDROXBUTYRYL_COA_DEHYDRATASE_RXN_x;0;;;;;;
0;-1.60E-13;9.66E-12;3_HYDROXY_PROPIONATE_mc;0;;;;;;
0;0;0;3_HYDROXYBENZOATE_6_MONOOXYGENASE_RXN_c;0;;;;;;
0;0;0;3_HYDROXYBUTYRYL_COA_DEHYDROGENASE_RXN_c;0;;;;;;
0;3.57E-05;0.000220747;3_HYDROXYISOBUTYRATE_DEHYDROGENASE_RXN_m;0;;;;;;
0;3.57E-05;0.000220747;3_HYDROXYISOBUTYRYL_COA_HYDROLASE_RXN_m;0;;;;;;
0;-1.60E-13;9.66E-12;3_HYDROXYPROPIONATE_DEHYDROGENASE_RXN_c;0;;;;;;
0;8.52E-05;0.000342894;3_HYDROXYPROPIONATE_DEHYDROGENASE_RXN_m;0;;;;;;
0.000669246;0.000691612;0.000167521;3_ISOPROPYLMALDEHYDROG_RXN_p;0.004100554;;;;;;
0.000669246;0.000691612;0.000167521;3_ISOPROPYLMALISOM_RXN_p;0.004100554;;;;;;
