minFlux,maxFlux,fluxSpan,rxns
0,0,0,_BORNEOL_DEHYDROGENASE_RXN_c
0,0,0,_NEOMENTHOL_DEHYDROGENASE_RXN_c
0,0,0,__MENTHOL_DEHYDROGENASE_RXN_c
0,0,0,1_1_1_141_RXN_c
0,0,0,1_1_1_170_RXN_NADP_c
0,0,0,1_1_1_170_RXN_NAD_c
0,0.000732091763751273,0.000732091763751273,1_1_1_178_RXN_m
0,0,0,1_1_1_210_RXN_c
0,0,0,1_1_1_248_RXN_c
0,0.00409780141961267,0.00409780141961267,1_1_1_255_RXN_c
0,0,0,1_1_1_268_RXN_c
-9.673335e-05,-8.75206500268177e-05,9.21269997318226e-06,1_1_1_271_RXN_c
0,0,0,1_1_1_285_RXN_NADP_c
0,0,0,1_1_1_285_RXN_NAD_c
0,0,0,1_1_1_288_RXN_c
0,0,0,1_1_1_34_RXN_c
0,0.00819560284003273,0.00819560284003273,1_1_1_39_RXN_c
0,0,0,1_1_1_51_RXN_NAD_c
0,0.00819560284006116,0.00819560284006116,1_1_1_8_RXN_c
0,0,0,1_1_3_37_RXN_c
0.0074432446553149,0.0206626695,0.0132194248446851,1_10_2_2_RXN_m
0,0,0,1_14_11_18_RXN_c
0,0,0,1_14_11_20_RXN_c
0,0,0,1_14_13_117_RXN_c
0,0,0,1_14_13_118_RXN_c
0,0,0,1_14_13_36_RXN_c
0,0,0,1_14_13_42_RXN_c
0,0,0,1_14_13_70_RXN_c
0,0,0,1_14_13_72_RXN_NADP_c
0,0,0,1_14_13_72_RXN_NAD_c
0,0,0,1_14_13_73_RXN_c
0,0,0,1_14_13_77_RXN_c
0,0,0,1_14_13_78_RXN_c
0,0,0,1_14_13_79_RXN_c
0,0,0,1_14_13_8_RXN_c
0,0,0,1_14_13_87_RXN_NADP_c
0,0,0,1_14_13_87_RXN_NAD_c
0,0,0,1_14_13_93_RXN_c
0,0,0,1_14_21_6_RXN_NADP_c
0,0,0,1_14_21_6_RXN_NAD_c
0,0,0,1_14_99_33_RXN_NADP_c
0,0,0,1_14_99_33_RXN_NAD_c
0.00165963579479467,0.0148790606400553,0.0132194248452606,1_18_1_2_RXN_p
0,0,0,1_2_1_1_RXN_c
-0.00973298312715087,0,0.00973298312715087,1_2_1_13_RXN_p
0,0.000502542502365131,0.000502542502365131,1_2_1_2_RXN_m
0,0.00050254250233029,0.00050254250233029,1_2_1_2_RXN_p
0,0.000936978585690011,0.000936978585690011,1_2_1_25_RXN_m
0,0,0,1_2_1_42_RXN_c
0,0,0,1_2_1_65_RXN_c
0,0.00977049308773096,0.00977049308773096,1_2_1_9_RXN_c
0,0,0,1_2_3_14_RXN_c
0,0.00118616040893677,0.00118616040893677,1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m
0,0,0,1_3_1_2_RXN_c
0,0,0,1_3_7_4_RXN_c
6.057162e-05,6.694758e-05,6.37596000000001e-06,1_5_1_20_RXN_c
0,0,0,1_5_1_25_RXN_NADP_c
0,0,0,1_5_1_25_RXN_NAD_c
0,0.00819560283969167,0.00819560283969167,1_5_1_7_RXN_c
-0.00819560283957799,0,0.00819560283957799,1_5_1_8_RXN_c
0,0.00111035398510234,0.00111035398510234,1_5_1_9_RXN_c
0,0.00487154238146559,0.00487154238146559,1_5_5_1_RXN_m
0,0.00165726904827615,0.00165726904827615,1_6_5_4_RXN_x
0,0,0,1_8_3_5_RXN_c
0.00019641212,0.000834671310684887,0.000638259190684887,1_8_4_9_RXN_p
0,0.0024777403934574,0.0024777403934574,1_8_5_1_RXN_c
0,0,0,1_8_5_1_RXN_m
0,0.00147126489142685,0.00147126489142685,1_8_5_1_RXN_p
0,0.00139401842690677,0.00139401842690677,1_8_5_1_RXN_x
-0.00063825772895143,-8.69203449838096e-05,0.000551337383967621,10_FORMYL_THF_pc
0,0,0,12_ALPHA_L_FUCOSIDASE_RXN_c
0,0,0,12_OXOPHYTODIENOATE_REDUCTASE_RXN_c
-0.00168400755740095,0.00121510290875904,0.00289911046615998,1TRANSKETO_RXN_p
0,0.00111035398510234,0.00111035398510234,2_AMINOADIPATE_AMINOTRANSFERASE_RXN_c
0,0,0,2_CARBOXY_D_ARABINITOL_1_PHOSPHATASE_RXN_c
0,0,0,2_DEHYDROPANTOATE_REDUCT_RXN_c
0,0,0,2_HEXADECENAL_REDUCTASE_RXN_c
0,0,0,2_HYDROXYBIPHENYL_3_MONOOXYGENASE_RXN_c
0.00041026795,0.00126982931020454,0.000859561360204544,2_ISOPROPYLMALATESYN_RXN_p
0,0.00111035398510234,0.00111035398510234,2_KETO_ADIPATE_DEHYDROG_RXN_m
-1000,1000,2000,2_KETOGLUTARATE_xc
0,0.000732091763751273,0.000732091763751273,2_MEBUCOA_ETF_RXN_m
0,0,0,2_OCTAPRENYL_6_OHPHENOL_METHY_RXN_c
0,0,0,2_OCTAPRENYLPHENOL_HYDROX_RXN_c
0,0,0,2_1_1_103_RXN_c
0,0,0,2_1_1_114_RXN_c
0,0,0,2_1_1_121_RXN_c
0,0,0,2_1_1_139_RXN_c
0,0,0,2_1_1_140_RXN_c
0,0,0,2_1_1_142_RXN_c
0,0,0,2_1_1_143_RXN_c
0,0,0,2_1_1_145_RXN_c
0,0,0,2_1_1_146_RXN_c
0,0,0,2_1_1_64_RXN_c
0,0,0,2_1_1_69_RXN_c
0,0,0,2_1_1_88_RXN_c
0,0,0,2_3_1_103_RXN_c
0,0,0,2_3_1_133_RXN_c
0,0,0,2_3_1_150_RXN_c
0,0,0,2_3_1_151_RXN_c
0,0,0,2_3_1_156_RXN_c
0,0,0,2_3_1_160_RXN_c
0,0,0,2_3_1_162_RXN_c
0,0,0,2_3_1_167_RXN_c
0,0,0,2_3_1_172_RXN_c
0,0,0,2_3_1_179_RXN_c
0.0011319388035,0.00150425098741594,0.000372312183915938,2_3_1_180_RXN_p
0,0,0,2_3_1_99_RXN_c
0,0.00404300800806666,0.00404300800806666,2_4_1_111_RXN_c
0,0,0,2_4_1_114_RXN_c
0,0,0,2_4_1_121_RXN_c
0,0.00404300800769964,0.00404300800769964,2_4_1_123_RXN_c
0,0,0,2_4_1_126_RXN_c
0,0,0,2_4_1_194_RXN_c
0,0,0,2_4_1_195_RXN_c
0,0,0,2_4_1_210_RXN_c
0,0,0,2_4_1_218_RXN_c
0,0.0040430080079447,0.0040430080079447,2_4_1_67_RXN_c
0,0.00404300800775296,0.00404300800775296,2_4_1_82_RXN_c
0.000434259535,0.000895833520624651,0.000461573985624651,2_5_1_19_RXN_p
0,0,0,2_5_1_32_RXN_c
0,0,0,2_5_1_39_RXN_c
0,0,0,2_5_1_41_RXN_c
0,0,0,2_5_1_43_RXN_c
0,0,0,2_5_1_64_RXN_c
0,0,0,2_6_1_18_RXN_c
0,0,0,2_6_1_22_RXN_c
0,0,0,2_6_1_49_RXN_c
-1000,1000,2000,2_6_1_58_RXN_c
0,0,0,2_6_1_80_RXN_c
0,0.00808601601527192,0.00808601601527192,2_7_1_133_RXN_c
0,0.00134766933594938,0.00134766933594938,2_7_1_134_RXN_c
0,0.00808601601622321,0.00808601601622321,2_7_1_139_RXN_c
0,0,0,2_7_1_140_RXN_c
0,0,0,2_7_1_148_RXN_p
0,0,0,2_7_1_151_RXN_c
0,0,0,2_7_1_152_RXN_c
-0.00154254750009386,0.0185535801390415,0.0200961276391354,2_7_1_90_RXN_c
0,0,0,2_7_4_24_RXN_c
0,0.00404300800762203,0.00404300800762203,2_7_7_1_RXN_c
0,0,0,2_7_7_11_RXN_c
0,0.00826522496464805,0.00826522496464805,2_7_7_13_RXN_c
0,0,0,2_7_7_14_RXN_c
0,0.00404300800775438,0.00404300800775438,2_7_7_15_RXN_c
0,0.000198073050000858,0.000198073050000858,2_7_7_34_RXN_c
0,0,0,2_7_7_44_RXN_c
0,0,0,2_7_7_57_RXN_c
0,0,0,2_7_7_60_RXN_p
0,0,0,2_8_2_26_RXN_c
0,0,0,2_8_2_27_RXN_c
0,0,0,2_8_2_28_RXN_c
0,0,0,23_DIMETHYLMALATE_LYASE_RXN_c
0,0.000732091763751273,0.000732091763751273,2KETO_3METHYLVALERATE_RXN_m
0,0.000834841485077261,0.000834841485077261,2KETO_4METHYL_PENTANOATE_DEHYDROG_RXN_m
0,0.00202150400343726,0.00202150400343726,2KETOBUTYRYL_TRANS_mc
0,0.00111035398515469,0.00111035398515469,2KG_2K_ADIPATE_mc
-1000,1000,2000,2KG_ACONITATE_mc
-1000,1000,2000,2KG_CIT_mc
-1000,1000,2000,2KG_ISOCITRATE_mc
-1000,1000,2000,2KG_MAL_mc
-1000,1000,2000,2KG_MAL_pc
-1000,1000,2000,2KG_OAA_mc
-1000,1000,2000,2KG_SUC_mc
0,0.00118616040890629,0.00118616040890629,2OXOBUT_TRANS_mc
-0.000954323016571834,0.00118616040901998,0.00214048342559181,2OXOBUT_TRANS_pc
0,0.00327599612590206,0.00327599612590206,2OXOGLUTARATEDEH_RXN_m
